season,year,anom_c,oni
JFM,1963,-0.15,neutral
FMA,1963,0.15,neutral
MAM,1963,0.27,neutral
AMJ,1963,0.31,neutral
MJJ,1963,0.52,el_nino
JJA,1963,0.86,el_nino
JAS,1963,1.14,el_nino
ASO,1963,1.22,el_nino
SON,1963,1.29,el_nino
OND,1963,1.37,el_nino
NDJ,1963,1.31,el_nino
DJF,1964,1.07,el_nino
JFM,1964,0.62,el_nino
FMA,1964,0.12,neutral
MAM,1964,-0.33,neutral
AMJ,1964,-0.58,la_nina
MJJ,1964,-0.58,la_nina
JJA,1964,-0.6,la_nina
JAS,1964,-0.66,la_nina
ASO,1964,-0.76,la_nina
SON,1964,-0.8,la_nina
OND,1964,-0.82,la_nina
NDJ,1964,-0.78,la_nina
DJF,1965,-0.59,la_nina
JFM,1965,-0.28,neutral
FMA,1965,-0.07,neutral
MAM,1965,0.18,neutral
AMJ,1965,0.46,neutral
MJJ,1965,0.83,el_nino
JJA,1965,1.22,el_nino
JAS,1965,1.54,el_nino
ASO,1965,1.85,el_nino
SON,1965,1.98,el_nino
OND,1965,1.97,el_nino
NDJ,1965,1.72,el_nino
DJF,1966,1.37,el_nino
JFM,1966,1.17,el_nino
FMA,1966,0.98,el_nino
MAM,1966,0.66,el_nino
AMJ,1966,0.35,neutral
MJJ,1966,0.24,neutral
JJA,1966,0.24,neutral
JAS,1966,0.12,neutral
ASO,1966,-0.05,neutral
SON,1966,-0.1,neutral
OND,1966,-0.18,neutral
NDJ,1966,-0.3,neutral
DJF,1967,-0.41,neutral
JFM,1967,-0.48,neutral
FMA,1967,-0.53,neutral
MAM,1967,-0.45,neutral
AMJ,1967,-0.24,neutral
MJJ,1967,-0.0,neutral
JJA,1967,0.05,neutral
JAS,1967,-0.16,neutral
ASO,1967,-0.3,neutral
SON,1967,-0.38,neutral
OND,1967,-0.34,neutral
NDJ,1967,-0.44,neutral
DJF,1968,-0.64,neutral
JFM,1968,-0.74,neutral
FMA,1968,-0.62,neutral
MAM,1968,-0.44,neutral
AMJ,1968,-0.04,neutral
MJJ,1968,0.28,neutral
JJA,1968,0.58,neutral
JAS,1968,0.53,neutral
ASO,1968,0.45,neutral
SON,1968,0.55,el_nino
OND,1968,0.73,el_nino
NDJ,1968,0.98,el_nino
DJF,1969,1.13,el_nino
JFM,1969,1.09,el_nino
FMA,1969,0.95,el_nino
MAM,1969,0.77,el_nino
AMJ,1969,0.61,el_nino
MJJ,1969,0.43,neutral
JJA,1969,0.36,neutral
JAS,1969,0.51,el_nino
ASO,1969,0.79,el_nino
SON,1969,0.86,el_nino
OND,1969,0.81,el_nino
NDJ,1969,0.63,el_nino
DJF,1970,0.51,el_nino
JFM,1970,0.34,neutral
FMA,1970,0.29,neutral
MAM,1970,0.19,neutral
AMJ,1970,0.04,neutral
MJJ,1970,-0.3,neutral
JJA,1970,-0.63,la_nina
JAS,1970,-0.76,la_nina
ASO,1970,-0.77,la_nina
SON,1970,-0.74,la_nina
OND,1970,-0.86,la_nina
NDJ,1970,-1.15,la_nina
DJF,1971,-1.36,la_nina
JFM,1971,-1.38,la_nina
FMA,1971,-1.12,la_nina
MAM,1971,-0.85,la_nina
AMJ,1971,-0.73,la_nina
MJJ,1971,-0.74,la_nina
JJA,1971,-0.8,la_nina
JAS,1971,-0.77,la_nina
ASO,1971,-0.82,la_nina
SON,1971,-0.85,la_nina
OND,1971,-0.96,la_nina
NDJ,1971,-0.9,la_nina
DJF,1972,-0.71,la_nina
JFM,1972,-0.35,neutral
FMA,1972,0.06,neutral
MAM,1972,0.41,neutral
AMJ,1972,0.67,el_nino
MJJ,1972,0.92,el_nino
JJA,1972,1.13,el_nino
JAS,1972,1.37,el_nino
ASO,1972,1.58,el_nino
SON,1972,1.84,el_nino
OND,1972,2.09,el_nino
NDJ,1972,2.12,el_nino
DJF,1973,1.84,el_nino
JFM,1973,1.25,el_nino
FMA,1973,0.54,el_nino
MAM,1973,-0.1,neutral
AMJ,1973,-0.54,la_nina
MJJ,1973,-0.87,la_nina
JJA,1973,-1.11,la_nina
JAS,1973,-1.28,la_nina
ASO,1973,-1.45,la_nina
SON,1973,-1.71,la_nina
OND,1973,-1.95,la_nina
NDJ,1973,-2.03,la_nina
DJF,1974,-1.84,la_nina
JFM,1974,-1.55,la_nina
FMA,1974,-1.23,la_nina
MAM,1974,-1.03,la_nina
AMJ,1974,-0.91,la_nina
MJJ,1974,-0.77,la_nina
JJA,1974,-0.53,la_nina
JAS,1974,-0.37,neutral
ASO,1974,-0.41,neutral
SON,1974,-0.61,la_nina
OND,1974,-0.75,la_nina
NDJ,1974,-0.64,la_nina
DJF,1975,-0.54,la_nina
JFM,1975,-0.57,la_nina
FMA,1975,-0.65,la_nina
MAM,1975,-0.73,la_nina
AMJ,1975,-0.83,la_nina
MJJ,1975,-0.98,la_nina
JJA,1975,-1.13,la_nina
JAS,1975,-1.2,la_nina
ASO,1975,-1.37,la_nina
SON,1975,-1.43,la_nina
OND,1975,-1.55,la_nina
NDJ,1975,-1.65,la_nina
DJF,1976,-1.56,la_nina
JFM,1976,-1.17,la_nina
FMA,1976,-0.73,la_nina
MAM,1976,-0.47,neutral
AMJ,1976,-0.28,neutral
MJJ,1976,-0.05,neutral
JJA,1976,0.18,neutral
JAS,1976,0.35,neutral
ASO,1976,0.62,el_nino
SON,1976,0.81,el_nino
OND,1976,0.86,el_nino
NDJ,1976,0.85,el_nino
DJF,1977,0.71,el_nino
JFM,1977,0.64,el_nino
FMA,1977,0.34,neutral
MAM,1977,0.23,neutral
AMJ,1977,0.21,neutral
MJJ,1977,0.34,neutral
JJA,1977,0.35,neutral
JAS,1977,0.42,neutral
ASO,1977,0.57,el_nino
SON,1977,0.73,el_nino
OND,1977,0.81,el_nino
NDJ,1977,0.79,el_nino
DJF,1978,0.69,el_nino
JFM,1978,0.42,neutral
FMA,1978,0.06,neutral
MAM,1978,-0.18,neutral
AMJ,1978,-0.31,neutral
MJJ,1978,-0.29,neutral
JJA,1978,-0.36,neutral
JAS,1978,-0.42,neutral
ASO,1978,-0.42,neutral
SON,1978,-0.29,neutral
OND,1978,-0.08,neutral
NDJ,1978,0.0,neutral
DJF,1979,0.03,neutral
JFM,1979,0.07,neutral
FMA,1979,0.2,neutral
MAM,1979,0.28,neutral
AMJ,1979,0.23,neutral
MJJ,1979,0.05,neutral
JJA,1979,0.04,neutral
JAS,1979,0.17,neutral
ASO,1979,0.33,neutral
SON,1979,0.45,neutral
OND,1979,0.52,neutral
NDJ,1979,0.64,neutral
DJF,1980,0.59,neutral
JFM,1980,0.46,neutral
FMA,1980,0.34,neutral
MAM,1980,0.38,neutral
AMJ,1980,0.48,neutral
MJJ,1980,0.46,neutral
JJA,1980,0.25,neutral
JAS,1980,0.03,neutral
ASO,1980,-0.07,neutral
SON,1980,0.02,neutral
OND,1980,0.11,neutral
NDJ,1980,-0.01,neutral
DJF,1981,-0.26,neutral
JFM,1981,-0.5,neutral
FMA,1981,-0.47,neutral
MAM,1981,-0.37,neutral
AMJ,1981,-0.26,neutral
MJJ,1981,-0.29,neutral
JJA,1981,-0.3,neutral
JAS,1981,-0.25,neutral
ASO,1981,-0.16,neutral
SON,1981,-0.13,neutral
OND,1981,-0.15,neutral
NDJ,1981,-0.08,neutral
DJF,1982,-0.05,neutral
JFM,1982,0.07,neutral
FMA,1982,0.19,neutral
MAM,1982,0.47,neutral
AMJ,1982,0.66,el_nino
MJJ,1982,0.72,el_nino
JJA,1982,0.79,el_nino
JAS,1982,1.07,el_nino
ASO,1982,1.58,el_nino
SON,1982,1.97,el_nino
OND,1982,2.18,el_nino
NDJ,1982,2.23,el_nino
DJF,1983,2.18,el_nino
JFM,1983,1.92,el_nino
FMA,1983,1.54,el_nino
MAM,1983,1.29,el_nino
AMJ,1983,1.06,el_nino
MJJ,1983,0.72,el_nino
JJA,1983,0.31,neutral
JAS,1983,-0.08,neutral
ASO,1983,-0.46,neutral
SON,1983,-0.81,neutral
OND,1983,-1.0,neutral
NDJ,1983,-0.91,neutral
DJF,1984,-0.6,neutral
JFM,1984,-0.42,neutral
FMA,1984,-0.34,neutral
MAM,1984,-0.43,neutral
AMJ,1984,-0.51,neutral
MJJ,1984,-0.45,neutral
JJA,1984,-0.3,neutral
JAS,1984,-0.16,neutral
ASO,1984,-0.24,neutral
SON,1984,-0.56,la_nina
OND,1984,-0.92,la_nina
NDJ,1984,-1.14,la_nina
DJF,1985,-1.04,la_nina
JFM,1985,-0.85,la_nina
FMA,1985,-0.77,la_nina
MAM,1985,-0.78,la_nina
AMJ,1985,-0.78,la_nina
MJJ,1985,-0.63,la_nina
JJA,1985,-0.49,neutral
JAS,1985,-0.46,neutral
ASO,1985,-0.4,neutral
SON,1985,-0.35,neutral
OND,1985,-0.27,neutral
NDJ,1985,-0.36,neutral
DJF,1986,-0.49,neutral
JFM,1986,-0.47,neutral
FMA,1986,-0.31,neutral
MAM,1986,-0.2,neutral
AMJ,1986,-0.12,neutral
MJJ,1986,-0.04,neutral
JJA,1986,0.22,neutral
JAS,1986,0.44,neutral
ASO,1986,0.71,el_nino
SON,1986,0.94,el_nino
OND,1986,1.14,el_nino
NDJ,1986,1.22,el_nino
DJF,1987,1.23,el_nino
JFM,1987,1.19,el_nino
FMA,1987,1.06,el_nino
MAM,1987,0.95,el_nino
AMJ,1987,0.97,el_nino
MJJ,1987,1.22,el_nino
JJA,1987,1.51,el_nino
JAS,1987,1.7,el_nino
ASO,1987,1.65,el_nino
SON,1987,1.48,el_nino
OND,1987,1.25,el_nino
NDJ,1987,1.11,el_nino
DJF,1988,0.81,el_nino
JFM,1988,0.54,el_nino
FMA,1988,0.14,neutral
MAM,1988,-0.31,neutral
AMJ,1988,-0.88,la_nina
MJJ,1988,-1.3,la_nina
JJA,1988,-1.3,la_nina
JAS,1988,-1.11,la_nina
ASO,1988,-1.19,la_nina
SON,1988,-1.48,la_nina
OND,1988,-1.8,la_nina
NDJ,1988,-1.85,la_nina
DJF,1989,-1.69,la_nina
JFM,1989,-1.43,la_nina
FMA,1989,-1.08,la_nina
MAM,1989,-0.83,la_nina
AMJ,1989,-0.58,la_nina
MJJ,1989,-0.4,neutral
JJA,1989,-0.31,neutral
JAS,1989,-0.27,neutral
ASO,1989,-0.24,neutral
SON,1989,-0.22,neutral
OND,1989,-0.16,neutral
NDJ,1989,-0.05,neutral
DJF,1990,0.14,neutral
JFM,1990,0.21,neutral
FMA,1990,0.28,neutral
MAM,1990,0.29,neutral
AMJ,1990,0.29,neutral
MJJ,1990,0.31,neutral
JJA,1990,0.33,neutral
JAS,1990,0.38,neutral
ASO,1990,0.39,neutral
SON,1990,0.35,neutral
OND,1990,0.4,neutral
NDJ,1990,0.41,neutral
DJF,1991,0.41,neutral
JFM,1991,0.26,neutral
FMA,1991,0.22,neutral
MAM,1991,0.26,neutral
AMJ,1991,0.45,neutral
MJJ,1991,0.64,el_nino
JJA,1991,0.73,el_nino
JAS,1991,0.64,el_nino
ASO,1991,0.62,el_nino
SON,1991,0.79,el_nino
OND,1991,1.21,el_nino
NDJ,1991,1.53,el_nino
DJF,1992,1.71,el_nino
JFM,1992,1.63,el_nino
FMA,1992,1.48,el_nino
MAM,1992,1.29,el_nino
AMJ,1992,1.06,el_nino
MJJ,1992,0.73,el_nino
JJA,1992,0.37,neutral
JAS,1992,0.09,neutral
ASO,1992,-0.13,neutral
SON,1992,-0.25,neutral
OND,1992,-0.28,neutral
NDJ,1992,-0.13,neutral
DJF,1993,0.09,neutral
JFM,1993,0.3,neutral
FMA,1993,0.5,neutral
MAM,1993,0.67,neutral
AMJ,1993,0.7,neutral
MJJ,1993,0.57,neutral
JJA,1993,0.32,neutral
JAS,1993,0.25,neutral
ASO,1993,0.15,neutral
SON,1993,0.1,neutral
OND,1993,0.04,neutral
NDJ,1993,0.06,neutral
DJF,1994,0.06,neutral
JFM,1994,0.07,neutral
FMA,1994,0.17,neutral
MAM,1994,0.31,neutral
AMJ,1994,0.42,neutral
MJJ,1994,0.41,neutral
JJA,1994,0.44,neutral
JAS,1994,0.43,neutral
ASO,1994,0.55,el_nino
SON,1994,0.74,el_nino
OND,1994,1.01,el_nino
NDJ,1994,1.09,el_nino
DJF,1995,0.96,el_nino
JFM,1995,0.72,el_nino
FMA,1995,0.53,el_nino
MAM,1995,0.3,neutral
AMJ,1995,0.14,neutral
MJJ,1995,-0.03,neutral
JJA,1995,-0.24,neutral
JAS,1995,-0.54,la_nina
ASO,1995,-0.81,la_nina
SON,1995,-0.97,la_nina
OND,1995,-1.0,la_nina
NDJ,1995,-0.98,la_nina
DJF,1996,-0.9,la_nina
JFM,1996,-0.75,la_nina
FMA,1996,-0.59,la_nina
MAM,1996,-0.39,neutral
AMJ,1996,-0.31,neutral
MJJ,1996,-0.3,neutral
JJA,1996,-0.27,neutral
JAS,1996,-0.32,neutral
ASO,1996,-0.35,neutral
SON,1996,-0.4,neutral
OND,1996,-0.45,neutral
NDJ,1996,-0.49,neutral
DJF,1997,-0.5,neutral
JFM,1997,-0.36,neutral
FMA,1997,-0.1,neutral
MAM,1997,0.28,neutral
AMJ,1997,0.75,el_nino
MJJ,1997,1.22,el_nino
JJA,1997,1.6,el_nino
JAS,1997,1.9,el_nino
ASO,1997,2.14,el_nino
SON,1997,2.33,el_nino
OND,1997,2.4,el_nino
NDJ,1997,2.39,el_nino
DJF,1998,2.24,el_nino
JFM,1998,1.93,el_nino
FMA,1998,1.44,el_nino
MAM,1998,0.99,el_nino
AMJ,1998,0.45,neutral
MJJ,1998,-0.13,neutral
JJA,1998,-0.78,la_nina
JAS,1998,-1.12,la_nina
ASO,1998,-1.31,la_nina
SON,1998,-1.35,la_nina
OND,1998,-1.48,la_nina
NDJ,1998,-1.57,la_nina
DJF,1999,-1.55,la_nina
JFM,1999,-1.3,la_nina
FMA,1999,-1.07,la_nina
MAM,1999,-0.98,la_nina
AMJ,1999,-1.02,la_nina
MJJ,1999,-1.04,la_nina
JJA,1999,-1.1,la_nina
JAS,1999,-1.11,la_nina
ASO,1999,-1.16,la_nina
SON,1999,-1.26,la_nina
OND,1999,-1.46,la_nina
NDJ,1999,-1.65,la_nina
DJF,2000,-1.66,la_nina
JFM,2000,-1.41,la_nina
FMA,2000,-1.07,la_nina
MAM,2000,-0.81,la_nina
AMJ,2000,-0.71,la_nina
MJJ,2000,-0.64,la_nina
JJA,2000,-0.55,la_nina
JAS,2000,-0.51,la_nina
ASO,2000,-0.55,la_nina
SON,2000,-0.63,la_nina
OND,2000,-0.75,la_nina
NDJ,2000,-0.74,la_nina
DJF,2001,-0.68,la_nina
JFM,2001,-0.52,la_nina
FMA,2001,-0.44,neutral
MAM,2001,-0.34,neutral
AMJ,2001,-0.25,neutral
MJJ,2001,-0.12,neutral
JJA,2001,-0.08,neutral
JAS,2001,-0.13,neutral
ASO,2001,-0.19,neutral
SON,2001,-0.29,neutral
OND,2001,-0.35,neutral
NDJ,2001,-0.31,neutral
DJF,2002,-0.15,neutral
JFM,2002,0.03,neutral
FMA,2002,0.09,neutral
MAM,2002,0.2,neutral
AMJ,2002,0.43,neutral
MJJ,2002,0.65,el_nino
JJA,2002,0.79,el_nino
JAS,2002,0.86,el_nino
ASO,2002,1.01,el_nino
SON,2002,1.21,el_nino
OND,2002,1.31,el_nino
NDJ,2002,1.14,el_nino
DJF,2003,0.92,el_nino
JFM,2003,0.63,el_nino
FMA,2003,0.38,neutral
MAM,2003,-0.04,neutral
AMJ,2003,-0.26,neutral
MJJ,2003,-0.16,neutral
JJA,2003,0.08,neutral
JAS,2003,0.21,neutral
ASO,2003,0.26,neutral
SON,2003,0.29,neutral
OND,2003,0.35,neutral
NDJ,2003,0.35,neutral
DJF,2004,0.37,neutral
JFM,2004,0.31,neutral
FMA,2004,0.23,neutral
MAM,2004,0.17,neutral
AMJ,2004,0.17,neutral
MJJ,2004,0.28,neutral
JJA,2004,0.47,neutral
JAS,2004,0.64,el_nino
ASO,2004,0.7,el_nino
SON,2004,0.67,el_nino
OND,2004,0.66,el_nino
NDJ,2004,0.69,el_nino
DJF,2005,0.64,el_nino
JFM,2005,0.58,el_nino
FMA,2005,0.45,neutral
MAM,2005,0.43,neutral
AMJ,2005,0.29,neutral
MJJ,2005,0.11,neutral
JJA,2005,-0.06,neutral
JAS,2005,-0.14,neutral
ASO,2005,-0.11,neutral
SON,2005,-0.29,neutral
OND,2005,-0.57,la_nina
NDJ,2005,-0.84,la_nina
DJF,2006,-0.85,la_nina
JFM,2006,-0.77,la_nina
FMA,2006,-0.57,la_nina
MAM,2006,-0.37,neutral
AMJ,2006,-0.14,neutral
MJJ,2006,-0.03,neutral
JJA,2006,0.1,neutral
JAS,2006,0.3,neutral
ASO,2006,0.54,el_nino
SON,2006,0.77,el_nino
OND,2006,0.94,el_nino
NDJ,2006,0.94,el_nino
DJF,2007,0.66,el_nino
JFM,2007,0.22,neutral
FMA,2007,-0.12,neutral
MAM,2007,-0.32,neutral
AMJ,2007,-0.38,neutral
MJJ,2007,-0.47,neutral
JJA,2007,-0.56,la_nina
JAS,2007,-0.81,la_nina
ASO,2007,-1.07,la_nina
SON,2007,-1.34,la_nina
OND,2007,-1.5,la_nina
NDJ,2007,-1.6,la_nina
DJF,2008,-1.64,la_nina
JFM,2008,-1.52,la_nina
FMA,2008,-1.29,la_nina
MAM,2008,-1.01,la_nina
AMJ,2008,-0.84,la_nina
MJJ,2008,-0.61,la_nina
JJA,2008,-0.37,neutral
JAS,2008,-0.23,neutral
ASO,2008,-0.24,neutral
SON,2008,-0.35,neutral
OND,2008,-0.55,la_nina
NDJ,2008,-0.73,la_nina
DJF,2009,-0.85,la_nina
JFM,2009,-0.79,la_nina
FMA,2009,-0.61,la_nina
MAM,2009,-0.33,neutral
AMJ,2009,0.01,neutral
MJJ,2009,0.28,neutral
JJA,2009,0.45,neutral
JAS,2009,0.58,el_nino
ASO,2009,0.71,el_nino
SON,2009,1.01,el_nino
OND,2009,1.36,el_nino
NDJ,2009,1.56,el_nino
DJF,2010,1.5,el_nino
JFM,2010,1.22,el_nino
FMA,2010,0.84,el_nino
MAM,2010,0.35,neutral
AMJ,2010,-0.17,neutral
MJJ,2010,-0.66,la_nina
JJA,2010,-1.05,la_nina
JAS,2010,-1.35,la_nina
ASO,2010,-1.56,la_nina
SON,2010,-1.64,la_nina
OND,2010,-1.64,la_nina
NDJ,2010,-1.54,la_nina
DJF,2011,-1.31,la_nina
JFM,2011,-1.04,la_nina
FMA,2011,-0.8,la_nina
MAM,2011,-0.62,la_nina
AMJ,2011,-0.46,neutral
MJJ,2011,-0.37,neutral
JJA,2011,-0.43,neutral
JAS,2011,-0.58,la_nina
ASO,2011,-0.79,la_nina
SON,2011,-0.96,la_nina
OND,2011,-1.02,la_nina
NDJ,2011,-0.92,la_nina
DJF,2012,-0.72,la_nina
JFM,2012,-0.57,la_nina
FMA,2012,-0.46,neutral
MAM,2012,-0.36,neutral
AMJ,2012,-0.17,neutral
MJJ,2012,0.06,neutral
JJA,2012,0.3,neutral
JAS,2012,0.41,neutral
ASO,2012,0.41,neutral
SON,2012,0.31,neutral
OND,2012,0.13,neutral
NDJ,2012,-0.1,neutral
DJF,2013,-0.29,neutral
JFM,2013,-0.29,neutral
FMA,2013,-0.21,neutral
MAM,2013,-0.19,neutral
AMJ,2013,-0.27,neutral
MJJ,2013,-0.34,neutral
JJA,2013,-0.35,neutral
JAS,2013,-0.28,neutral
ASO,2013,-0.21,neutral
SON,2013,-0.13,neutral
OND,2013,-0.1,neutral
NDJ,2013,-0.15,neutral
DJF,2014,-0.28,neutral
JFM,2014,-0.32,neutral
FMA,2014,-0.14,neutral
MAM,2014,0.15,neutral
AMJ,2014,0.31,neutral
MJJ,2014,0.23,neutral
JJA,2014,0.1,neutral
JAS,2014,0.11,neutral
ASO,2014,0.28,neutral
SON,2014,0.54,el_nino
OND,2014,0.71,el_nino
NDJ,2014,0.77,el_nino
DJF,2015,0.69,el_nino
JFM,2015,0.61,el_nino
FMA,2015,0.65,el_nino
MAM,2015,0.81,el_nino
AMJ,2015,1.02,el_nino
MJJ,2015,1.25,el_nino
JJA,2015,1.57,el_nino
JAS,2015,1.91,el_nino
ASO,2015,2.21,el_nino
SON,2015,2.47,el_nino
OND,2015,2.64,el_nino
NDJ,2015,2.75,el_nino
DJF,2016,2.63,el_nino
JFM,2016,2.28,el_nino
FMA,2016,1.71,el_nino
MAM,2016,1.05,el_nino
AMJ,2016,0.49,neutral
MJJ,2016,0.0,neutral
JJA,2016,-0.31,neutral
JAS,2016,-0.5,neutral
ASO,2016,-0.58,neutral
SON,2016,-0.64,neutral
OND,2016,-0.6,neutral
NDJ,2016,-0.45,neutral
DJF,2017,-0.19,neutral
JFM,2017,-0.02,neutral
FMA,2017,0.18,neutral
MAM,2017,0.31,neutral
AMJ,2017,0.4,neutral
MJJ,2017,0.39,neutral
JJA,2017,0.19,neutral
JAS,2017,-0.07,neutral
ASO,2017,-0.34,neutral
SON,2017,-0.6,la_nina
OND,2017,-0.77,la_nina
NDJ,2017,-0.86,la_nina
DJF,2018,-0.77,la_nina
JFM,2018,-0.71,la_nina
FMA,2018,-0.57,la_nina
MAM,2018,-0.39,neutral
AMJ,2018,-0.13,neutral
MJJ,2018,0.06,neutral
JJA,2018,0.14,neutral
JAS,2018,0.27,neutral
ASO,2018,0.53,el_nino
SON,2018,0.81,el_nino
OND,2018,0.97,el_nino
NDJ,2018,0.92,el_nino
DJF,2019,0.89,el_nino
JFM,2019,0.86,el_nino
FMA,2019,0.84,el_nino
MAM,2019,0.77,el_nino
AMJ,2019,0.64,el_nino
MJJ,2019,0.52,el_nino
JJA,2019,0.33,neutral
JAS,2019,0.19,neutral
ASO,2019,0.23,neutral
SON,2019,0.39,neutral
OND,2019,0.58,el_nino
NDJ,2019,0.66,el_nino
DJF,2020,0.64,el_nino
JFM,2020,0.63,el_nino
FMA,2020,0.53,el_nino
MAM,2020,0.3,neutral
AMJ,2020,0.01,neutral
MJJ,2020,-0.23,neutral
JJA,2020,-0.36,neutral
JAS,2020,-0.53,la_nina
ASO,2020,-0.85,la_nina
SON,2020,-1.12,la_nina
OND,2020,-1.2,la_nina
NDJ,2020,-1.08,la_nina
DJF,2021,-0.91,la_nina
JFM,2021,-0.79,la_nina
FMA,2021,-0.71,la_nina
MAM,2021,-0.55,la_nina
AMJ,2021,-0.39,neutral
MJJ,2021,-0.3,neutral
JJA,2021,-0.35,neutral
JAS,2021,-0.45,neutral
ASO,2021,-0.63,la_nina
SON,2021,-0.76,la_nina
OND,2021,-0.91,la_nina
NDJ,2021,-0.87,la_nina
DJF,2022,-0.82,la_nina
JFM,2022,-0.79,la_nina
FMA,2022,-0.86,la_nina
